Enter a street name to search for: Real Estate Search
['0151742', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0151743', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0151744', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0151745', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0151746', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0151747', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0151748', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0151749', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0151750', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0151751', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0151752', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
